"province","category","attraction_id","city","country","name","price","rating","avg_price","latitude","longitude"
"british_columbia","featured_tours_and_tickets",0,"vancouver","canada","vancouver_city_sightseeing_tour",80,4.5,145,49.1978340149,-123.064994812
"british_columbia","featured_tours_and_tickets",1,"vancouver","canada","vancouver_to_victoria_and_butchart_gardens_tour_by_bus",210,5,145,49.1978340149,-123.064994812
"quebec","featured_tours_and_tickets",2,"montreal","canada","quebec_city_and_montmorency_falls_day_trip_from_montreal",115,4.5,115,45.5001449585,-73.5720291138
"ontario","featured_tours_and_tickets",3,"toronto","canada","niagara_falls_day_trip_from_toronto",169,5,212.21,43.6561508179,-79.384262085
"ontario","featured_tours_and_tickets",4,"niagara_falls","canada","best_of_niagara_falls_tour_from_niagara_falls,_ontario",158,5,212.21,43.0857124329,-79.0824279785
"ontario","featured_tours_and_tickets",5,"niagara_falls","canada","niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides",204.42,5,212.21,43.1024360657,-78.9616394043
"british_columbia","featured_tours_and_tickets",6,"vancouver","canada","whistler_small-group_day_trip_from_vancouver",145,5,145,49.1978340149,-123.064994812
"ontario","featured_tours_and_tickets",7,"niagara_falls","canada","ultimate_niagara_falls_tour_plus_helicopter_ride_and_skylon_tower_lunch",317.42,5,212.21,43.0857124329,-79.0824279785
"british_columbia","local_experiences",8,"vancouver_island","canada","local_food,_craft_beverage_and_estate_winery_tour_of_cowichan_valley",150,5,410,38.8258628845,-76.919593811
"british_columbia","local_experiences",9,"vancouver","canada","private_tour:_vancouver_to_victoria_island",670,5,410,49.2869224548,-123.1221618652
"ontario","local_experiences",10,"niagara_falls","canada","private_custom-made_niagara_falls_wine,_beer,_and_spirits_tour",139,5,139,38.8258628845,-76.919593811
"british_columbia","air,_helicopter_&_balloon_tours",11,"vancouver","canada","vancouver_seaplane_tour",135,5,344.6009375,48.4241294861,-123.3707809448
"ontario","air,_helicopter_&_balloon_tours",12,"niagara_falls","canada","niagara_falls_grand_helicopter_tour",131.5,5,228.8476470588,43.1888389587,-79.1714706421
"british_columbia","air,_helicopter_&_balloon_tours",13,"whistler","canada","whistler_helicopter_tour",187.95,5,344.6009375,49.1830062866,-123.1765975952
"ontario","air,_helicopter_&_balloon_tours",14,"niagara_falls","canada","niagara_falls_helicopter_tour",145,4.5,228.8476470588,43.1186027527,-79.0743865967
"ontario","air,_helicopter_&_balloon_tours",15,"toronto","canada","7-minute_helicopter_tour_over_toronto",123.18,4.5,228.8476470588,43.632484436,-79.3956604004
"british_columbia","air,_helicopter_&_balloon_tours",16,"vancouver","canada","seaplane_flight_to_victoria_and_whale-watching_cruise",469,5,344.6009375,48.4241294861,-123.3707809448
"ontario","air,_helicopter_&_balloon_tours",17,"niagara_falls","canada","ultimate_niagara_falls_tour_plus_helicopter_ride_and_skylon_tower_lunch",317.42,5,228.8476470588,43.0857124329,-79.0824279785
"ontario","air,_helicopter_&_balloon_tours",18,"niagara_falls","canada","niagara_falls_airplane_tour",129,5,228.8476470588,43.1897468567,-79.1701202393
"ontario","air,_helicopter_&_balloon_tours",19,"toronto","canada","airliner_adventures_package",129,5,228.8476470588,38.8258628845,-76.919593811
"british_columbia","air,_helicopter_&_balloon_tours",20,"vancouver_island","canada","yukon-northern_lights_4-days_adventure_in_whitehorse",344.6000061035,5,344.6009375,49.2869224548,-123.1221618652
"british_columbia","air,_helicopter_&_balloon_tours",22,"vancouver","canada","vancouver_to_seattle_seaplane_flight",370.5,5,344.6009375,48.4241294861,-123.3707809448
"ontario","air,_helicopter_&_balloon_tours",23,"toronto","canada","14-minute_helicopter_tour_over_toronto",258.78,5,228.8476470588,43.632484436,-79.3956604004
"british_columbia","air,_helicopter_&_balloon_tours",24,"vancouver","canada","victoria_and_butchart_gardens_by_helicopter_and_speed_boat",579,5,344.6009375,49.2847518921,-123.1394805908
"british_columbia","air,_helicopter_&_balloon_tours",25,"vancouver","canada","mount_mamquam_and_alpine_lakes_seaplane_tour_from_vancouver",369,4.5,344.6009375,48.4241294861,-123.3707809448
"quebec","air,_helicopter_&_balloon_tours",26,"montreal","canada","helicopter_tour_over_montreal",179,5,189.57,45.5313453674,-73.4114303589
"british_columbia","air,_helicopter_&_balloon_tours",27,"squamish","canada","squamish_explorer_flightseeing_tour",162.75,5,344.6009375,49.7833366394,-123.1597671509
"british_columbia","air,_helicopter_&_balloon_tours",28,"vancouver","canada","victoria_excursion_from_vancouver_by_helicopter_and_sea_plane",699,5,344.6009375,49.2847518921,-123.1394805908
"ontario","air,_helicopter_&_balloon_tours",29,"niagara_falls","canada","niagara_winter_wonderland_tour_-_air_tour,_winery_tour,_chocolate_factory_tour",144.5,5,228.8476470588,43.1897468567,-79.1701202393
"ontario","air,_helicopter_&_balloon_tours",30,"gananoque","canada","thousand_islands_two_castle_helicopter_tour",265.64,5,228.8476470588,44.3474006653,-76.1751708984
"quebec","air,_helicopter_&_balloon_tours",31,"mont_tremblant","canada","helicopter_tour_over_mont-tremblant",171.31,5,189.57,46.1141471863,-74.5413894653
"british_columbia","air,_helicopter_&_balloon_tours",32,"sunshine_coast","canada","sechelt_panorama_seaplane_experience",119,5,344.6009375,48.4241294861,-123.3707809448
"british_columbia","air,_helicopter_&_balloon_tours",33,"vancouver","canada","victoria_and_butchart_gardens_by_seaplane_and_speed_boat",489,5,344.6009375,49.2847518921,-123.1394805908
"british_columbia","air,_helicopter_&_balloon_tours",34,"vancouver","canada","whistler_day_trip_by_seaplane_from_vancouver",409,4.5,344.6009375,48.4241294861,-123.3707809448
"british_columbia","air,_helicopter_&_balloon_tours",35,"vancouver","canada","whales_&_fly:_whale_watching_from_vancouver_to_victoria_&_return_seaplane_flight",447.57,5,344.6009375,48.4227218628,-123.3689804077
"british_columbia","air,_helicopter_&_balloon_tours",36,"vancouver","canada","vancouver_to_victoria_by_seaplane_and_ferry",289,4.5,344.6009375,48.4241294861,-123.3707809448
"british_columbia","air,_helicopter_&_balloon_tours",37,"vancouver","canada","seaplane_flight_to_victoria_with_ground_transport_and_butchart_gardens_admission",449,5,344.6009375,48.4241294861,-123.3707809448
"ontario","air,_helicopter_&_balloon_tours",38,"niagara_falls","canada","helicopter_ride_over_the_falls_and_sit_down_meal_at_elements_located_on_falls",265.84,5,228.8476470588,40.7519760132,-73.9866027832
"quebec","air,_helicopter_&_balloon_tours",39,"quebec_city","canada","quebec_city_helicopter_tour_over_montmorency_falls",218.4,4.5,189.57,46.7999687195,-71.3723526001
"british_columbia","air,_helicopter_&_balloon_tours",40,"vancouver_island","canada","seaplane_flight_to_vancouver_with_bus_tour_from_victoria",439,5,344.6009375,48.4241294861,-123.3707809448
"british_columbia","air,_helicopter_&_balloon_tours",41,"vancouver","canada","vancouver_to_victoria_seaplane_flight",218,5,344.6009375,48.4241294861,-123.3707809448
"british_columbia","air,_helicopter_&_balloon_tours",42,"vancouver_island","canada","victoria_to_vancouver_seaplane_flight",218,5,344.6009375,48.4241294861,-123.3707809448
"ontario","air,_helicopter_&_balloon_tours",43,"toronto","canada","toronto_aerial_tour_in_luxury_with_a_niagara_falls_winery_tour_and_tasting",189,5,228.8476470588,56.1303672791,-106.3467712402
"ontario","air,_helicopter_&_balloon_tours",44,"toronto","canada","air_taxi_and_tour_from_toronto_-_niagara_including_ground_transport_to_niagara_hotels",563.87,5,228.8476470588,43.1897468567,-79.1701202393
"british_columbia","air,_helicopter_&_balloon_tours",45,"vancouver","canada","tofino_to_vancouver_seaplane_flight",299,5,344.6009375,48.4241294861,-123.3707809448
"british_columbia","air,_helicopter_&_balloon_tours",46,"whistler","canada","whistler_to_vancouver_scenic_flight",208.01,5,344.6009375,50.1436805725,-122.948600769
"ontario","air,_helicopter_&_balloon_tours",47,"markham","canada","exhilarating_120km_aerial_tour_of_toronto",79,5,228.8476470588,56.1303672791,-106.3467712402
"ontario","air,_helicopter_&_balloon_tours",48,"gananoque","canada","boldt_castle_and_thousand_islands_helicopter_tour",172.84,5,228.8476470588,44.3474006653,-76.1751708984
"alberta","air,_helicopter_&_balloon_tours",49,"canadian_rockies","canada","icefields_parkway_sidecar_ride_and_champagne_helicopter_flight",null,null,null,52.8751792908,-118.0820846558
"ontario","air,_helicopter_&_balloon_tours",50,"gananoque","canada","ultimate_thousand_islands_helicopter_tour",522,5,228.8476470588,44.3474006653,-76.1751708984
"british_columbia","air,_helicopter_&_balloon_tours",51,"vancouver","canada","vancouver_to_victoria_whale_watching_with_return_to_vancouver_by_seaplane",569,4.5,344.6009375,49.2847518921,-123.1394805908
"british_columbia","air,_helicopter_&_balloon_tours",52,"vancouver","canada","gulf_islands_kayak_and_seaplane_adventure",629,5,344.6009375,49.2847518921,-123.1394805908
"northwest_territories","air,_helicopter_&_balloon_tours",53,"yellowknife","canada","yellowknife_helicopter_tour",240,null,240,62.4549751282,-114.3722763062
"british_columbia","air,_helicopter_&_balloon_tours",54,"vancouver","canada","seaplane_tour_with_admission_to_capilano_suspension_bridge_park",169,5,344.6009375,48.4241294861,-123.3707809448
"british_columbia","air,_helicopter_&_balloon_tours",55,"whistler","canada","whistler_to_victoria_scenic_flight",285,4,344.6009375,50.1436805725,-122.948600769
"british_columbia","air,_helicopter_&_balloon_tours",56,"whistler","canada","whistler_alpine_picnic_helicopter_tour",630,5,344.6009375,49.1830062866,-123.1765975952
"ontario","air,_helicopter_&_balloon_tours",57,"niagara_falls","canada","niagara_falls_by_airplane_and_land_winter_tour_with_wine_tasting_from_toronto",339,5,228.8476470588,43.1897468567,-79.1701202393
"british_columbia","air,_helicopter_&_balloon_tours",58,"sunshine_coast","canada","strait_of_georgia_seaplane_tour_from_sechelt",139,5,344.6009375,48.4241294861,-123.3707809448
"british_columbia","air,_helicopter_&_balloon_tours",59,"squamish","canada","whistler_backcountry_flightseeing_tour",219.45,5,344.6009375,49.7833366394,-123.1597671509
